model,segment,val_season,n_fixtures,rps,rps_ci_low,rps_ci_high,brier_1x2,log_loss_1x2,ece_1x2,exact_scoreline_log_loss,over_2_5_log_loss,over_2_5_brier,btts_log_loss,btts_brier
ml_scoreline,cold_start_involved,2022-2023,10,0.1839300590306011,0.12004874512381716,0.2525071164390029,0.5283708394821212,0.9041513921172729,0.10637961206674708,2.8682661176089734,0.6914119412264869,0.2511807965816836,0.6544308642211222,0.23075565111255053
ml_scoreline,established_only,2022-2023,370,0.2019088770906478,0.18700215901037473,0.21449856536470047,0.5808228542366091,0.9752343285547231,0.06525735557572296,3.0095630139096126,0.6822439672290579,0.24467992705807984,0.7012924945685829,0.25404226636602184
dixon_coles,overall,2023-2024,380,0.19773673438017525,0.18675758992715372,0.20959278857526475,0.5627782912534874,0.9506565637871803,0.03494112614248795,3.1744286085555498,0.7076828490782096,0.25655762405119065,0.6982282648498679,0.25237871671961587
dixon_coles,cold_start_involved,2023-2024,10,0.24084623467706007,0.21502821206775344,0.2666642572863667,0.6450774080623602,1.0642563879862668,0.029090113046533084,2.852427152262478,0.6881279495296724,0.24749051939250086,0.6588140741380987,0.23288415126608175
dixon_coles,established_only,2023-2024,370,0.1965716127505297,0.183952343591827,0.20999991963232642,0.5605539907991934,0.9475862982682862,0.0350992616315678,3.1831313506175247,0.7082113598768188,0.2568026809338579,0.6992935132474833,0.2529055968670087
bivariate_poisson,overall,2023-2024,380,0.19770052631765575,0.18656590060495218,0.2096804965443846,0.563101138878622,0.9509199729177601,0.04334729132588593,3.1735008999692695,0.7064267530327675,0.25601821981037526,0.693799942497656,0.2502443841619584
bivariate_poisson,cold_start_involved,2023-2024,10,0.24084623467706007,0.21502821206775344,0.2666642572863667,0.6450774080623602,1.0642563879862668,0.029090113046533084,2.852427152262478,0.6881279495296724,0.24749051939250086,0.6588140741380987,0.23288415126608175
bivariate_poisson,established_only,2023-2024,370,0.19653442609172594,0.18375302317809786,0.21012945726331594,0.5608855640358181,0.9478568265645573,0.04530505901162695,3.18217856882621,0.7069213152896079,0.25624869820004753,0.6947455065073738,0.2507135796456307
ml_scoreline,overall,2023-2024,380,0.1916038634540094,0.17898945675118105,0.20455056108541733,0.5507094462519115,0.9366064810297408,0.05003280238077931,3.081801518542649,0.6662021740986028,0.23674274083455632,0.6680702062574176,0.23760251168712068
ml_scoreline,cold_start_involved,2023-2024,10,0.1987640261974137,0.13704004816427776,0.26937106395246346,0.552427349721308,0.946511742657479,0.15855813346733438,2.6770487535084557,0.6744675870322986,0.24078836793429326,0.6958526913521368,0.2510078553509981
ml_scoreline,established_only,2023-2024,370,0.19141034554202555,0.17854279700813133,0.20482632955118796,0.5506630164284142,0.9363387712560182,0.051224764521904435,3.0927407824624917,0.6659787845598543,0.23663339956159046,0.6673193282818847,0.23724020510161048
dixon_coles,overall,2024-2025,380,0.21742732235288667,0.20469786874539408,0.2307371889014926,0.6189161156389845,1.029874526776423,0.04884748110618954,3.029488861483193,0.6814289947241383,0.24422764094530056,0.6862008718498518,0.24651197648040005
dixon_coles,cold_start_involved,2024-2025,10,0.20211920076310017,0.1633921668491403,0.24084623467706007,0.7127152045786008,1.172946762685871,0.07090988695346695,3.179526334863199,0.6957787398379154,0.2513157072286746,0.6588140741380987,0.23288415126608175
